BookingID,hotel,booking_status,lead_time,arrival_year,arrival_month,arrival_date_week_number,arrival_day,no_of_weekend_nights,no_of_week_nights,no_of_adults,no_of_children,babies,type_of_meal_plan,country,market_segment_type,distribution_channel,room_type_reserved,assigned_room_type,booking_changes,deposit_type,agent,customer_type,avg_price_per_room,required_car_parking_space,no_of_special_requests,reservation_status,reservation_status_date,name,email,phone-number,credit_card,arrival_date,"Total Guests",empID
11,"Resort Hotel",1,23,2015,7,27,1,0,4,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,E,E,0,"No Deposit",240,Transient,123,0,0,Canceled,2015-06-23,"Priscilla Collins PhD",PhD.Priscilla74@att.com,833-887-7898,************4642,2015-07-01,2,11
12,"Resort Hotel",0,35,2015,7,27,1,0,4,2,0,0,"Half Board",PRT,"Online TA",TA/TO,D,D,0,"No Deposit",240,Transient,145,0,0,Check-Out,2015-05-07,"Laurie Smith",Smith.Laurie@att.com,804-383-4080,************5450,2015-07-01,2,12
13,"Resort Hotel",0,68,2015,7,27,1,0,4,2,0,0,"Bed and Breakfass",USA,"Online TA",TA/TO,D,E,0,"No Deposit",240,Transient,97,0,3,Check-Out,2015-05-07,"Casey Thomas",Casey_T78@outlook.com,211-071-2173,************8518,2015-07-01,2,13
14,"Resort Hotel",0,18,2015,7,27,1,0,4,2,1,0,"Half Board",ESP,"Online TA",TA/TO,G,G,1,"No Deposit",241,Transient,154.77,0,1,Check-Out,2015-05-07,"Rachel Friedman",Rachel.F@protonmail.com,435-075-8409,************9767,2015-07-01,3,14
15,"Resort Hotel",0,37,2015,7,27,1,0,4,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,E,E,0,"No Deposit",241,Transient,94.71,0,0,Check-Out,2015-05-07,"Edward Torres",Edward.T@zoho.com,790-746-7471,************7719,2015-07-01,2,15
16,"Resort Hotel",0,68,2015,7,27,1,0,4,2,0,0,"Bed and Breakfass",IRL,"Online TA",TA/TO,D,E,0,"No Deposit",240,Transient,97,0,3,Check-Out,2015-05-07,"Samuel Zavala",Zavala_Samuel46@xfinity.com,649-384-5387,************7612,2015-07-01,2,16
17,"Resort Hotel",0,37,2015,7,27,1,0,4,2,0,0,"Bed and Breakfass",PRT,"Offline TA/TO",TA/TO,E,E,0,"No Deposit",8,Contract,97.5,0,0,Check-Out,2015-05-07,"Dr. Victor Martin",Dr.Martin@xfinity.com,331-430-8824,************6279,2015-07-01,2,17
18,"Resort Hotel",0,12,2015,7,27,1,0,1,2,0,0,"Bed and Breakfass",IRL,"Online TA",TA/TO,A,E,0,"No Deposit",240,Transient,88.2,0,0,Check-Out,2015-02-07,"Sara Lee",Sara.L@hotmail.com,573-306-9938,************8950,2015-07-01,2,18
19,"Resort Hotel",0,0,2015,7,27,1,0,1,2,0,0,"Bed and Breakfass",FRA,Corporate,Corporate,A,G,0,"No Deposit",0,Transient,107.42,0,0,Check-Out,2015-02-07,"Curtis Rodriguez",CRodriguez@verizon.com,466-424-2102,************1179,2015-07-01,2,19
20,"Resort Hotel",0,7,2015,7,27,1,0,4,2,0,0,"Bed and Breakfass",GBR,Direct,Direct,G,G,0,"No Deposit",250,Transient,153,0,1,Check-Out,2015-05-07,"Stephanie Schmidt",StephanieSchmidt@hotmail.com,896-642-1049,************1110,2015-07-01,2,20
21,"Resort Hotel",0,37,2015,7,27,1,1,4,1,0,0,"Bed and Breakfass",GBR,"Online TA",TA/TO,F,F,0,"No Deposit",241,Transient,97.29,0,1,Check-Out,2015-06-07,"John Matthews",John.Matthews@aol.com,952-496-4398,************1019,2015-07-01,1,21
22,"Resort Hotel",0,72,2015,7,27,1,2,4,2,0,0,"Bed and Breakfass",PRT,Direct,Direct,A,A,1,"No Deposit",250,Transient,84.67,0,1,Check-Out,2015-07-07,"Robert Chung",Robert.Chung47@yandex.com,382-465-6552,************8524,2015-07-01,2,22
23,"Resort Hotel",0,72,2015,7,27,1,2,4,2,0,0,"Bed and Breakfass",PRT,Direct,Direct,A,A,1,"No Deposit",250,Transient,84.67,0,1,Check-Out,2015-07-07,"Mark Garcia",MGarcia16@comcast.net,784-675-4921,************4371,2015-07-01,2,23
24,"Resort Hotel",0,72,2015,7,27,1,2,4,2,0,0,"Bed and Breakfass",PRT,Direct,Direct,D,D,1,"No Deposit",250,Transient,99.67,0,1,Check-Out,2015-07-07,"Brandon Taylor",BrandonTaylor@hotmail.com,227-329-7167,************8470,2015-07-01,2,24
25,"Resort Hotel",0,127,2015,7,27,1,2,5,2,0,0,"Half Board",GBR,"Offline TA/TO",TA/TO,D,I,0,"No Deposit",115,Contract,94.95,0,1,Check-Out,2015-01-07,"Angie Sanchez",Angie_Sanchez@att.com,211-889-2476,************8871,2015-07-01,2,25
26,"Resort Hotel",0,78,2015,7,27,1,2,5,2,0,0,"Bed and Breakfass",PRT,"Offline TA/TO",TA/TO,D,D,0,"No Deposit",5,Transient,63.6,1,0,Check-Out,2015-08-07,"Alexis King",King_Alexis70@hotmail.com,103-516-5853,************6809,2015-07-01,2,26
27,"Resort Hotel",0,48,2015,7,27,1,2,5,2,0,0,"Bed and Breakfass",IRL,"Offline TA/TO",TA/TO,D,D,0,"No Deposit",8,Contract,79.5,0,0,Check-Out,2015-08-07,"Michael Davidson",MichaelDavidson82@att.com,336-525-2460,************8662,2015-07-01,2,27
28,"Resort Hotel",1,60,2015,7,27,1,2,5,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,E,E,0,"No Deposit",240,Transient,107,0,2,Canceled,2015-11-05,"Jaime Flynn",JaimeFlynn29@gmail.com,549-866-3721,************9660,2015-07-01,2,28
29,"Resort Hotel",0,77,2015,7,27,1,2,5,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,A,A,0,"No Deposit",240,Transient,94,0,0,Check-Out,2015-08-07,"Mrs. Alicia Williams",Mrs..W61@yandex.com,427-564-4927,************4445,2015-07-01,2,29
30,"Resort Hotel",0,99,2015,7,27,1,2,5,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,D,D,0,"No Deposit",240,Transient,87.3,1,1,Check-Out,2015-08-07,"Heather Hart",Heather.H@xfinity.com,431-329-6663,************2780,2015-07-01,2,30
32,"Resort Hotel",0,95,2015,7,27,1,4,11,2,0,0,"Bed and Breakfass",GBR,"Offline TA/TO",TA/TO,D,D,0,"No Deposit",241,Transient,63.86,0,0,Check-Out,2015-07-16,"Paul Williams",Williams_Paul@xfinity.com,789-736-8837,************7006,2015-07-01,2,32
33,"Resort Hotel",1,96,2015,7,27,1,2,8,2,0,0,"Bed and Breakfass",PRT,Direct,Direct,E,E,0,"No Deposit",0,Transient,108.3,0,2,Canceled,2015-05-29,"Reginald Cunningham",Reginald_C57@outlook.com,800-249-2144,************5699,2015-07-01,2,33
34,"Resort Hotel",0,69,2015,7,27,2,2,4,2,0,0,"Bed and Breakfass",IRL,"Offline TA/TO",TA/TO,A,C,0,"No Deposit",175,Transient,65.5,0,0,Check-Out,2015-08-07,"Willie Sims",Willie_S@yahoo.com,790-830-7635,************7682,2015-07-02,2,34
35,"Resort Hotel",1,45,2015,7,27,2,1,3,3,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,D,D,0,"No Deposit",241,Transient,108.8,0,1,Canceled,2015-05-19,"Alex Brown",Alex.B@zoho.com,956-737-1944,************4084,2015-07-02,3,35
36,"Resort Hotel",1,40,2015,7,27,2,1,3,3,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,D,D,0,"No Deposit",241,Transient,108.8,0,1,Canceled,2015-06-19,"Virginia Holden",Virginia.H@aol.com,734-480-9929,************8469,2015-07-02,3,36
37,"Resort Hotel",0,15,2015,7,27,2,1,3,2,0,0,"Bed and Breakfass",ESP,"Online TA",TA/TO,A,C,0,"No Deposit",240,Transient,98,0,0,Check-Out,2015-06-07,"John Smith",John_Smith@xfinity.com,624-965-3392,************6445,2015-07-02,2,37
38,"Resort Hotel",0,36,2015,7,27,2,1,3,3,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,D,D,0,"No Deposit",241,Transient,108.8,0,1,Check-Out,2015-06-07,"Jennifer Barton",JBarton@hotmail.com,902-792-8048,************2544,2015-07-02,3,38
39,"Resort Hotel",1,43,2015,7,27,2,1,3,3,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,D,D,0,"No Deposit",241,Transient,108.8,0,0,Canceled,2015-05-23,"Richard Holt",Richard.Holt@hotmail.com,517-420-6344,************7544,2015-07-02,3,39
40,"Resort Hotel",0,70,2015,7,27,2,2,3,2,0,0,"Half Board",ROU,Direct,Direct,E,E,0,"No Deposit",250,Transient,137,0,1,Check-Out,2015-07-07,"Amy Green",Amy.Green56@gmail.com,858-208-4589,************3073,2015-07-02,2,40
41,"Resort Hotel",1,45,2015,7,27,2,2,3,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,G,G,0,"No Deposit",241,Transient,117.81,0,0,Canceled,2015-05-18,"Kimberly Perez",Perez.Kimberly84@hotmail.com,320-615-3590,************4653,2015-07-02,2,41
42,"Resort Hotel",0,45,2015,7,27,2,2,3,2,0,0,"Bed and Breakfass",IRL,"Offline TA/TO",TA/TO,D,D,0,"No Deposit",8,Contract,79.5,0,0,Check-Out,2015-07-07,"Carly Armstrong",CArmstrong@mail.com,521-784-3601,************7391,2015-07-02,2,42
43,"Resort Hotel",0,16,2015,7,27,2,2,3,2,0,0,"Bed and Breakfass",ESP,Direct,Direct,F,F,0,"No Deposit",0,Transient,123,0,0,Check-Out,2015-07-07,"Scott Hammond",ScottHammond41@verizon.com,632-108-8350,************4823,2015-07-02,2,43
44,"Resort Hotel",0,70,2015,7,27,2,2,3,2,0,0,"Half Board",ROU,Direct,Direct,E,E,0,"No Deposit",250,Transient,137,0,1,Check-Out,2015-07-07,"Debra Fuller",Debra.Fuller@protonmail.com,229-134-3710,************3550,2015-07-02,2,44
45,"Resort Hotel",0,107,2015,7,27,2,2,5,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,A,A,0,"No Deposit",240,Transient,110.7,0,2,Check-Out,2015-09-07,"Rachel Davis",RachelDavis@mail.com,549-261-2558,************2810,2015-07-02,2,45
46,"Resort Hotel",1,47,2015,7,27,2,2,5,2,2,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,G,G,0,"No Deposit",240,Transient,153,0,0,Canceled,2015-02-06,"Michael Mccormick",Mccormick.Michael19@aol.com,380-830-9585,************2950,2015-07-02,4,46
47,"Resort Hotel",0,96,2015,7,27,2,2,5,2,0,0,"Bed and Breakfass",ESP,"Offline TA/TO",TA/TO,A,A,0,"No Deposit",134,Transient,58.95,0,1,Check-Out,2015-09-07,"Ann Sullivan",AnnSullivan@att.com,947-577-3720,************4782,2015-07-02,2,47
48,"Resort Hotel",0,113,2015,7,27,2,2,5,2,0,0,"Bed and Breakfass",NOR,"Offline TA/TO",TA/TO,E,E,0,"No Deposit",156,Transient-Party,82.88,0,2,Check-Out,2015-09-07,"Rachel Wallace",Rachel_W79@xfinity.com,870-988-2775,************1133,2015-07-02,2,48
49,"Resort Hotel",0,90,2015,7,27,2,2,5,2,0,0,"Half Board",GBR,"Offline TA/TO",TA/TO,A,B,1,"No Deposit",243,Contract,82.35,0,0,Check-Out,2015-09-07,"Carla Ferguson",Carla_Ferguson@att.com,724-910-8709,************8339,2015-07-02,2,49
50,"Resort Hotel",0,50,2015,7,27,2,2,5,2,0,0,"Half Board",IRL,"Online TA",TA/TO,E,F,1,"No Deposit",241,Transient,119.35,0,1,Check-Out,2015-09-07,"Greg Hardin",Hardin_Greg@gmail.com,488-646-3204,************1449,2015-07-02,2,50
51,"Resort Hotel",0,113,2015,7,27,2,2,5,2,0,0,"Bed and Breakfass",NOR,"Offline TA/TO",TA/TO,D,D,0,"No Deposit",156,Transient-Party,67.58,0,2,Check-Out,2015-09-07,"Rachel Ho",Ho_Rachel74@aol.com,338-173-6502,************4642,2015-07-02,2,51
52,"Resort Hotel",0,93,2015,7,27,2,3,8,2,0,0,"Bed and Breakfass",IRL,"Offline TA/TO",TA/TO,A,A,0,"No Deposit",156,Contract,56.01,0,0,Check-Out,2015-07-13,"Elizabeth Joseph",Joseph_Elizabeth@yandex.com,625-613-9890,************5898,2015-07-02,2,52
53,"Resort Hotel",0,76,2015,7,27,2,4,10,2,0,0,"Bed and Breakfass",OMN,"Offline TA/TO",TA/TO,D,D,0,"No Deposit",243,Contract,110.7,0,0,Check-Out,2015-07-16,"Stephen Brown",Stephen.Brown@att.com,154-115-9953,************6842,2015-07-02,2,53
54,"Resort Hotel",0,3,2015,7,27,2,0,1,2,0,0,"Bed and Breakfass",ESP,"Online TA",TA/TO,A,C,0,"No Deposit",240,Transient,88.2,1,0,Check-Out,2015-03-07,"Scott Ward",Scott_Ward11@hotmail.com,463-281-5751,************2726,2015-07-02,2,54
55,"Resort Hotel",0,1,2015,7,27,2,0,1,2,0,0,"Bed and Breakfass",ARG,"Online TA",TA/TO,H,H,0,"No Deposit",240,Transient,147,1,0,Check-Out,2015-03-07,"Derrick Bailey",Derrick_Bailey@protonmail.com,709-066-0652,************6401,2015-07-02,2,55
56,"Resort Hotel",0,1,2015,7,27,2,0,1,2,2,0,"Bed and Breakfass",ESP,Direct,Direct,C,C,0,"No Deposit",0,Transient,107,1,2,Check-Out,2015-03-07,"Jessica Cole",Jessica_Cole@yahoo.com,179-191-0924,************3609,2015-07-02,4,56
57,"Resort Hotel",0,0,2015,7,27,2,0,1,2,0,0,"Bed and Breakfass",PRT,Direct,Direct,H,H,0,"No Deposit",0,Transient,147,0,0,Check-Out,2015-03-07,"Reginald Russo",Russo.Reginald65@comcast.net,765-624-6051,************1221,2015-07-02,2,57
58,"Resort Hotel",0,0,2015,7,27,2,0,1,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,A,D,0,"No Deposit",240,Transient,117.9,0,2,Check-Out,2015-03-07,"William Sanchez",William.Sanchez@mail.com,120-215-7905,************2923,2015-07-02,2,58
59,"Resort Hotel",0,0,2015,7,27,2,0,1,2,0,0,"Bed and Breakfass",PRT,Direct,Direct,G,G,0,"No Deposit",0,Transient,123,0,0,Check-Out,2015-03-07,"Diane Rose",Diane.Rose@protonmail.com,362-196-5800,************7251,2015-07-02,2,59
60,"Resort Hotel",0,14,2015,7,27,2,0,2,2,0,0,"Bed and Breakfass",USA,"Online TA",TA/TO,A,C,0,"No Deposit",242,Transient,98,0,1,Check-Out,2015-04-07,"Nathan Smith",Nathan_Smith@comcast.net,689-649-9029,************4556,2015-07-02,2,60
61,"Resort Hotel",0,10,2015,7,27,2,0,2,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,G,G,0,"No Deposit",241,Transient,117.81,0,0,Check-Out,2015-04-07,"Andrew Bullock",AndrewBullock17@hotmail.com,674-443-2397,************4571,2015-07-02,2,61
62,"Resort Hotel",0,5,2015,7,27,2,0,2,2,0,0,"Bed and Breakfass",IRL,"Online TA",TA/TO,E,E,0,"No Deposit",240,Transient,135,1,2,Check-Out,2015-04-07,"Nancy Mccormick",Nancy.M@protonmail.com,199-421-8585,************7707,2015-07-02,2,62
63,"Resort Hotel",0,17,2015,7,27,2,0,3,2,0,0,"Bed and Breakfass",ESP,Direct,Direct,F,F,0,"No Deposit",250,Transient,133,0,1,Check-Out,2015-05-07,"Barbara Cole",Barbara.Cole@hotmail.com,152-786-1085,************6762,2015-07-02,2,63
64,"Resort Hotel",0,93,2015,7,27,2,0,3,2,0,0,"Bed and Breakfass",IRL,"Offline TA/TO",TA/TO,A,C,0,"No Deposit",115,Contract,58.95,0,0,Check-Out,2015-05-07,"Sheri Aguilar",Aguilar.Sheri22@att.com,333-467-7388,************5982,2015-07-02,2,64
65,"Resort Hotel",1,3,2015,7,27,2,0,3,2,0,0,"Half Board",PRT,"Online TA",TA/TO,A,A,0,"No Deposit",240,Transient,136.33,0,2,Canceled,2015-06-29,"Sandra Graham",Sandra_Graham@xfinity.com,141-723-4259,************4525,2015-07-02,2,65
66,"Resort Hotel",0,10,2015,7,27,3,0,2,2,2,0,"Bed and Breakfass",USA,"Online TA",TA/TO,G,H,0,"No Deposit",240,Transient,153,1,0,Check-Out,2015-05-07,"Christopher Cabrera",Cabrera.Christopher@yahoo.com,852-612-3076,************8922,2015-07-03,4,66
67,"Resort Hotel",0,3,2015,7,27,3,0,2,2,0,0,"Bed and Breakfass",ESP,"Online TA",TA/TO,A,C,0,"No Deposit",240,Transient,110.5,0,0,Check-Out,2015-05-07,"Melinda Flores",Flores_Melinda@yahoo.com,419-443-6780,************9114,2015-07-03,2,67
68,"Resort Hotel",0,51,2015,7,27,3,0,2,2,0,0,"Bed and Breakfass",POL,"Online TA",TA/TO,D,D,0,"No Deposit",242,Transient,97,0,0,Check-Out,2015-05-07,"Michael Whitehead",Michael.W@mail.com,738-618-2202,************8548,2015-07-03,2,68
69,"Resort Hotel",1,71,2015,7,27,3,0,2,3,0,0,"Bed and Breakfass",PRT,"Offline TA/TO",TA/TO,A,A,0,"No Deposit",242,Transient,110.3,0,2,Canceled,2015-06-16,"Brent Hamilton",Brent.Hamilton15@gmail.com,304-692-3370,************9129,2015-07-03,3,69
70,"Resort Hotel",1,63,2015,7,27,3,0,2,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,A,A,0,"No Deposit",240,Transient,82,0,2,Canceled,2015-06-18,"Jessica Bradford",JBradford@outlook.com,207-319-4187,************6345,2015-07-03,2,70
71,"Resort Hotel",1,62,2015,7,27,3,0,2,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,D,D,0,"No Deposit",240,Transient,97,0,1,Canceled,2015-03-07,"Marissa Robinson",MarissaRobinson@mail.com,770-855-7071,************8906,2015-07-03,2,71
72,"Resort Hotel",1,101,2015,7,27,3,0,2,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,A,A,0,"No Deposit",240,Transient,73.8,0,1,Canceled,2015-12-06,"Jennifer Curry",Jennifer_Curry@hotmail.com,964-722-0569,************2465,2015-07-03,2,72
73,"Resort Hotel",0,2,2015,7,27,3,0,2,2,0,0,"Half Board",PRT,"Offline TA/TO",TA/TO,A,A,0,"No Deposit",3,Transient,91.5,0,0,Check-Out,2015-05-07,"Teresa Maldonado",Maldonado_Teresa95@protonmail.com,623-086-5362,************7419,2015-07-03,2,73
74,"Resort Hotel",0,15,2015,7,27,3,0,2,2,0,0,"Bed and Breakfass",ESP,"Online TA",TA/TO,A,A,0,"No Deposit",240,Transient,114.5,0,0,Check-Out,2015-05-07,"Bryan Perez",BryanPerez@gmail.com,125-111-5926,************7649,2015-07-03,2,74
75,"Resort Hotel",1,51,2015,7,27,3,0,2,3,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,A,A,0,"No Deposit",242,Transient,110.3,0,0,Canceled,2015-09-06,"Timothy Horn",Timothy.H@yandex.com,308-321-9169,************9797,2015-07-03,3,75
76,"Resort Hotel",0,3,2015,7,27,3,1,2,2,0,0,"Bed and Breakfass",ESP,"Online TA",TA/TO,A,A,0,"No Deposit",240,Transient,90.9,1,0,Check-Out,2015-06-07,"Angela Williams",Angela.Williams@xfinity.com,580-737-9824,************2429,2015-07-03,2,76
77,"Resort Hotel",1,48,2015,7,27,3,1,2,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,E,E,0,"No Deposit",240,Transient,123,0,0,Canceled,2015-05-26,"Lee Ramirez MD",LMD@yahoo.com,764-987-4238,************1841,2015-07-03,2,77
78,"Resort Hotel",0,2,2015,7,27,3,2,2,1,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,A,A,0,"No Deposit",240,Transient,122,0,0,Check-Out,2015-07-07,"Allen Hoffman",AHoffman@protonmail.com,387-020-2239,************6785,2015-07-03,1,78
79,"Resort Hotel",0,72,2015,7,27,3,2,2,2,0,0,"Bed and Breakfass",DEU,"Offline TA/TO",TA/TO,A,A,0,"No Deposit",105,Transient,110.7,1,0,Check-Out,2015-07-07,"Michael Yu",Michael_Yu59@comcast.net,648-953-8540,************2015,2015-07-03,2,79
80,"Resort Hotel",0,81,2015,7,27,3,2,6,3,0,0,"Bed and Breakfass",PRT,"Offline TA/TO",TA/TO,D,D,0,"No Deposit",5,Transient,85.86,0,0,Check-Out,2015-11-07,"Anthony Moss",Anthony_Moss18@yandex.com,963-680-1077,************1583,2015-07-03,3,80
81,"Resort Hotel",0,99,2015,7,27,3,2,7,2,0,0,"Bed and Breakfass",FRA,"Offline TA/TO",TA/TO,A,A,0,"No Deposit",40,Contract,58.95,0,0,Check-Out,2015-12-07,"Tony Olson",Tony_O@outlook.com,177-359-1844,************2796,2015-07-03,2,81
82,"Resort Hotel",1,368,2015,7,27,3,3,7,2,0,0,"Bed and Breakfass",PRT,"Offline TA/TO",TA/TO,A,A,0,"No Deposit",40,Contract,55.68,0,0,Canceled,2015-05-19,"Clayton Cowan",Clayton.Cowan31@protonmail.com,504-743-2620,************8621,2015-07-03,2,82
83,"Resort Hotel",0,364,2015,7,27,3,3,7,2,0,0,"Bed and Breakfass",GBR,"Offline TA/TO",TA/TO,A,A,0,"No Deposit",40,Contract,55.68,0,0,Check-Out,2015-07-13,"Mrs. Debra Jackson DDS",DDS_Mrs.@att.com,307-631-6954,************5361,2015-07-03,2,83
84,"Resort Hotel",1,81,2015,7,27,3,3,7,2,0,0,"Half Board",PRT,Direct,Direct,A,A,2,"No Deposit",250,Transient,124,0,1,Canceled,2015-09-06,"Raymond Young",Young.Raymond92@verizon.com,699-642-7831,************1207,2015-07-03,2,84
85,"Resort Hotel",0,99,2015,7,27,3,3,7,2,0,0,"Half Board",GBR,"Offline TA/TO",TA/TO,E,E,0,"No Deposit",115,Contract,111.15,0,0,Check-Out,2015-07-13,"Lisa Schroeder",Schroeder.Lisa@comcast.net,530-765-2207,************6525,2015-07-03,2,85
86,"Resort Hotel",0,324,2015,7,27,3,4,10,2,0,0,"Half Board",GBR,"Offline TA/TO",TA/TO,E,E,0,"No Deposit",40,Contract,134.73,0,0,Check-Out,2015-07-17,"Kristin Roberts",Kristin_Roberts56@protonmail.com,697-234-2961,************5111,2015-07-03,2,86
87,"Resort Hotel",0,69,2015,7,27,3,4,10,2,0,0,"Bed and Breakfass",GBR,"Online TA",TA/TO,F,F,1,"No Deposit",241,Transient,92.45,0,1,Check-Out,2015-07-17,"Howard Williams",Howard_W@outlook.com,725-661-7321,************7698,2015-07-03,2,87
88,"Resort Hotel",1,79,2015,7,27,3,6,15,2,1,0,"Bed and Breakfass",PRT,"Offline TA/TO",TA/TO,A,A,0,"No Deposit",242,Transient,108.73,0,2,Canceled,2015-04-15,"Jennifer Murphy",Murphy.Jennifer59@yandex.com,704-540-0581,************5298,2015-07-03,3,88
89,"Resort Hotel",0,12,2015,7,27,3,0,1,2,0,0,"Bed and Breakfass",GBR,"Online TA",TA/TO,A,C,0,"No Deposit",240,Transient,73.8,0,0,Check-Out,2015-04-07,"Joshua Delacruz",JoshuaDelacruz@outlook.com,865-382-8535,************7875,2015-07-03,2,89
90,"Resort Hotel",0,9,2015,7,27,3,0,1,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,A,C,0,"No Deposit",240,Transient,98,1,2,Check-Out,2015-04-07,"Colleen Murphy",Colleen.Murphy@mail.com,338-111-1480,************2377,2015-07-03,2,90
91,"Resort Hotel",0,1,2015,7,27,3,0,1,2,0,0,"Bed and Breakfass",ESP,"Online TA",TA/TO,A,C,0,"No Deposit",240,Transient,131,0,1,Check-Out,2015-04-07,"Rebecca Hebert",RHebert34@zoho.com,949-133-1514,************5325,2015-07-03,2,91
92,"Resort Hotel",0,21,2015,7,27,3,0,1,2,0,0,"Bed and Breakfass",PRT,"Online TA",TA/TO,E,E,0,"No Deposit",240,Transient,123,0,0,Check-Out,2015-04-07,"Robert Campbell",RCampbell@verizon.com,889-737-3353,************8057,2015-07-03,2,92
93,"Resort Hotel",0,9,2015,7,27,3,0,1,2,0,0,"Bed and Breakfass",USA,"Online TA",TA/TO,C,C,0,"No Deposit",241,Transient,94.71,0,0,Check-Out,2015-04-07,"Matthew Lang",Lang_Matthew34@hotmail.com,717-746-5383,************9947,2015-07-03,2,93
94,"Resort Hotel",0,109,2015,7,27,3,0,1,2,0,0,"Bed and Breakfass",BEL,"Online TA",TA/TO,A,A,0,"No Deposit",240,Transient,123,0,2,Check-Out,2015-04-07,"David Mcgee",David_M@aol.com,476-034-9610,************6891,2015-07-03,2,94
