hotel;is_canceled;lead_time;arrival_date_year;arrival_date_month;arrival_date_week_number;arrival_date_day_of_month;stays_in_weekend_nights;stays_in_week_nights;adults;children;babies;meal;country;market_segment;distribution_channel;is_repeated_guest;previous_cancellations;previous_bookings_not_canceled;reserved_room_type;assigned_room_type;booking_changes;deposit_type;agent;company;days_in_waiting_list;customer_type;adr;required_car_parking_spaces;total_of_special_requests;reservation_status;reservation_status_date;name;email;phone-number;credit_card
Resort Hotel;0;72;2015;July;27;1;2;4;2;0;0;BB;PRT;Direct;Direct;0;0;0;A;A;1;No Deposit;250;;0;Transient;84.67;0;1;Check-Out;07/07/15;Mark Garcia;MGarcia16@comcast.net;784-675-4921;************4371
Resort Hotel;0;72;2015;July;27;1;2;4;2;0;0;BB;PRT;Direct;Direct;0;0;0;D;D;1;No Deposit;250;;0;Transient;99.67;0;1;Check-Out;07/07/15;Brandon Taylor;BrandonTaylor@hotmail.com;227-329-7167;************8470
Resort Hotel;0;127;2015;July;27;1;2;5;2;0;0;HB;GBR;Offline TA/TO;TA/TO;0;0;0;D;I;0;No Deposit;115;;0;Contract;94.95;0;1;Check-Out;01/07/15;Angie Sanchez;Angie_Sanchez@att.com;211-889-2476;************8871
Resort Hotel;0;78;2015;July;27;1;2;5;2;0;0;BB;PRT;Offline TA/TO;TA/TO;0;0;0;D;D;0;No Deposit;5;;0;Transient;63.6;1;0;Check-Out;08/07/15;Alexis King;King_Alexis70@hotmail.com;103-516-5853;************6809
Resort Hotel;0;48;2015;July;27;1;2;5;2;0;0;BB;IRL;Offline TA/TO;TA/TO;0;0;0;D;D;0;No Deposit;8;;0;Contract;79.5;0;0;Check-Out;08/07/15;Michael Davidson;MichaelDavidson82@att.com;336-525-2460;************8662
Resort Hotel;1;60;2015;July;27;1;2;5;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;E;E;0;No Deposit;240;;0;Transient;107;0;2;Canceled;11/05/15;Jaime Flynn;JaimeFlynn29@gmail.com;549-866-3721;************9660
Resort Hotel;0;77;2015;July;27;1;2;5;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;240;;0;Transient;94;0;0;Check-Out;08/07/15;Mrs. Alicia Williams;Mrs..W61@yandex.com;427-564-4927;************4445
Resort Hotel;0;99;2015;July;27;1;2;5;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;D;D;0;No Deposit;240;;0;Transient;87.3;1;1;Check-Out;08/07/15;Heather Hart;Heather.H@xfinity.com;431-329-6663;************2780
Resort Hotel;0;118;2015;July;27;1;4;10;1;0;0;BB;;Direct;Direct;0;0;0;A;A;2;No Deposit;;;0;Transient;62;0;2;Check-Out;15/07/15;Diamond Wilson;Wilson.Diamond@comcast.net;870-563-6202;************8017
Resort Hotel;0;95;2015;July;27;1;4;11;2;0;0;BB;GBR;Offline TA/TO;TA/TO;0;0;0;D;D;0;No Deposit;241;;0;Transient;63.86;0;0;Check-Out;16/07/15;Paul Williams;Williams_Paul@xfinity.com;789-736-8837;************7006
Resort Hotel;1;96;2015;July;27;1;2;8;2;0;0;BB;PRT;Direct;Direct;0;0;0;E;E;0;No Deposit;;;0;Transient;108.3;0;2;Canceled;29/05/15;Reginald Cunningham;Reginald_C57@outlook.com;800-249-2144;************5699
Resort Hotel;0;69;2015;July;27;2;2;4;2;0;0;BB;IRL;Offline TA/TO;TA/TO;0;0;0;A;C;0;No Deposit;175;;0;Transient;65.5;0;0;Check-Out;08/07/15;Willie Sims;Willie_S@yahoo.com;790-830-7635;************7682
Resort Hotel;1;45;2015;July;27;2;1;3;3;0;0;BB;PRT;Online TA;TA/TO;0;0;0;D;D;0;No Deposit;241;;0;Transient;108.8;0;1;Canceled;19/05/15;Alex Brown;Alex.B@zoho.com;956-737-1944;************4084
Resort Hotel;1;40;2015;July;27;2;1;3;3;0;0;BB;PRT;Online TA;TA/TO;0;0;0;D;D;0;No Deposit;241;;0;Transient;108.8;0;1;Canceled;19/06/15;Virginia Holden;Virginia.H@aol.com;734-480-9929;************8469
Resort Hotel;0;15;2015;July;27;2;1;3;2;0;0;BB;ESP;Online TA;TA/TO;0;0;0;A;C;0;No Deposit;240;;0;Transient;98;0;0;Check-Out;06/07/15;John Smith;John_Smith@xfinity.com;624-965-3392;************6445
Resort Hotel;0;36;2015;July;27;2;1;3;3;0;0;BB;PRT;Online TA;TA/TO;0;0;0;D;D;0;No Deposit;241;;0;Transient;108.8;0;1;Check-Out;06/07/15;Jennifer Barton;JBarton@hotmail.com;902-792-8048;************2544
Resort Hotel;1;43;2015;July;27;2;1;3;3;0;0;BB;PRT;Online TA;TA/TO;0;0;0;D;D;0;No Deposit;241;;0;Transient;108.8;0;0;Canceled;23/05/15;Richard Holt;Richard.Holt@hotmail.com;517-420-6344;************7544
Resort Hotel;0;70;2015;July;27;2;2;3;2;0;0;HB;ROU;Direct;Direct;0;0;0;E;E;0;No Deposit;250;;0;Transient;137;0;1;Check-Out;07/07/15;Amy Green;Amy.Green56@gmail.com;858-208-4589;************3073
Resort Hotel;1;45;2015;July;27;2;2;3;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;G;G;0;No Deposit;241;;0;Transient;117.81;0;0;Canceled;18/05/15;Kimberly Perez;Perez.Kimberly84@hotmail.com;320-615-3590;************4653
Resort Hotel;0;45;2015;July;27;2;2;3;2;0;0;BB;IRL;Offline TA/TO;TA/TO;0;0;0;D;D;0;No Deposit;8;;0;Contract;79.5;0;0;Check-Out;07/07/15;Carly Armstrong;CArmstrong@mail.com;521-784-3601;************7391
Resort Hotel;0;16;2015;July;27;2;2;3;2;0;0;BB;ESP;Direct;Direct;0;0;0;F;F;0;No Deposit;;;0;Transient;123;0;0;Check-Out;07/07/15;Scott Hammond;ScottHammond41@verizon.com;632-108-8350;************4823
Resort Hotel;0;70;2015;July;27;2;2;3;2;0;0;HB;ROU;Direct;Direct;0;0;0;E;E;0;No Deposit;250;;0;Transient;137;0;1;Check-Out;07/07/15;Debra Fuller;Debra.Fuller@protonmail.com;229-134-3710;************3550
Resort Hotel;0;107;2015;July;27;2;2;5;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;240;;0;Transient;110.7;0;2;Check-Out;09/07/15;Rachel Davis;RachelDavis@mail.com;549-261-2558;************2810
Resort Hotel;1;47;2015;July;27;2;2;5;2;2;0;BB;PRT;Online TA;TA/TO;0;0;0;G;G;0;No Deposit;240;;0;Transient;153;0;0;Canceled;02/06/15;Michael Mccormick;Mccormick.Michael19@aol.com;380-830-9585;************2950
Resort Hotel;0;96;2015;July;27;2;2;5;2;0;0;BB;ESP;Offline TA/TO;TA/TO;0;0;0;A;A;0;No Deposit;134;;0;Transient;58.95;0;1;Check-Out;09/07/15;Ann Sullivan;AnnSullivan@att.com;947-577-3720;************4782
Resort Hotel;0;113;2015;July;27;2;2;5;2;0;0;BB;NOR;Offline TA/TO;TA/TO;0;0;0;E;E;0;No Deposit;156;;0;Transient-Party;82.88;0;2;Check-Out;09/07/15;Rachel Wallace;Rachel_W79@xfinity.com;870-988-2775;************1133
Resort Hotel;0;90;2015;July;27;2;2;5;2;0;0;HB;GBR;Offline TA/TO;TA/TO;0;0;0;A;B;1;No Deposit;243;;0;Contract;82.35;0;0;Check-Out;09/07/15;Carla Ferguson;Carla_Ferguson@att.com;724-910-8709;************8339
Resort Hotel;0;50;2015;July;27;2;2;5;2;0;0;HB;IRL;Online TA;TA/TO;0;0;0;E;F;1;No Deposit;241;;0;Transient;119.35;0;1;Check-Out;09/07/15;Greg Hardin;Hardin_Greg@gmail.com;488-646-3204;************1449
Resort Hotel;0;113;2015;July;27;2;2;5;2;0;0;BB;NOR;Offline TA/TO;TA/TO;0;0;0;D;D;0;No Deposit;156;;0;Transient-Party;67.58;0;2;Check-Out;09/07/15;Rachel Ho;Ho_Rachel74@aol.com;338-173-6502;************4642
Resort Hotel;0;93;2015;July;27;2;3;8;2;0;0;BB;IRL;Offline TA/TO;TA/TO;0;0;0;A;A;0;No Deposit;156;;0;Contract;56.01;0;0;Check-Out;13/07/15;Elizabeth Joseph;Joseph_Elizabeth@yandex.com;625-613-9890;************5898
Resort Hotel;0;76;2015;July;27;2;4;10;2;0;0;BB;OMN;Offline TA/TO;TA/TO;0;0;0;D;D;0;No Deposit;243;;0;Contract;110.7;0;0;Check-Out;16/07/15;Stephen Brown;Stephen.Brown@att.com;154-115-9953;************6842
Resort Hotel;0;3;2015;July;27;2;0;1;2;0;0;BB;ESP;Online TA;TA/TO;0;0;0;A;C;0;No Deposit;240;;0;Transient;88.2;1;0;Check-Out;03/07/15;Scott Ward;Scott_Ward11@hotmail.com;463-281-5751;************2726
Resort Hotel;0;1;2015;July;27;2;0;1;2;0;0;BB;ARG;Online TA;TA/TO;0;0;0;H;H;0;No Deposit;240;;0;Transient;147;1;0;Check-Out;03/07/15;Derrick Bailey;Derrick_Bailey@protonmail.com;709-066-0652;************6401
Resort Hotel;0;1;2015;July;27;2;0;1;2;2;0;BB;ESP;Direct;Direct;0;0;0;C;C;0;No Deposit;;;0;Transient;107;1;2;Check-Out;03/07/15;Jessica Cole;Jessica_Cole@yahoo.com;179-191-0924;************3609
Resort Hotel;0;0;2015;July;27;2;0;1;2;0;0;BB;PRT;Direct;Direct;0;0;0;H;H;0;No Deposit;;;0;Transient;147;0;0;Check-Out;03/07/15;Reginald Russo;Russo.Reginald65@comcast.net;765-624-6051;************1221
Resort Hotel;0;0;2015;July;27;2;0;1;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;A;D;0;No Deposit;240;;0;Transient;117.9;0;2;Check-Out;03/07/15;William Sanchez;William.Sanchez@mail.com;120-215-7905;************2923
Resort Hotel;0;0;2015;July;27;2;0;1;2;0;0;BB;PRT;Direct;Direct;0;0;0;G;G;0;No Deposit;;;0;Transient;123;0;0;Check-Out;03/07/15;Diane Rose;Diane.Rose@protonmail.com;362-196-5800;************7251
Resort Hotel;0;14;2015;July;27;2;0;2;2;0;0;BB;USA;Online TA;TA/TO;0;0;0;A;C;0;No Deposit;242;;0;Transient;98;0;1;Check-Out;04/07/15;Nathan Smith;Nathan_Smith@comcast.net;689-649-9029;************4556
Resort Hotel;0;10;2015;July;27;2;0;2;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;G;G;0;No Deposit;241;;0;Transient;117.81;0;0;Check-Out;04/07/15;Andrew Bullock;AndrewBullock17@hotmail.com;674-443-2397;************4571
Resort Hotel;0;5;2015;July;27;2;0;2;2;0;0;BB;IRL;Online TA;TA/TO;0;0;0;E;E;0;No Deposit;240;;0;Transient;135;1;2;Check-Out;04/07/15;Nancy Mccormick;Nancy.M@protonmail.com;199-421-8585;************7707
Resort Hotel;0;17;2015;July;27;2;0;3;2;0;0;BB;ESP;Direct;Direct;0;0;0;F;F;0;No Deposit;250;;0;Transient;133;0;1;Check-Out;05/07/15;Barbara Cole;Barbara.Cole@hotmail.com;152-786-1085;************6762
Resort Hotel;0;93;2015;July;27;2;0;3;2;0;0;BB;IRL;Offline TA/TO;TA/TO;0;0;0;A;C;0;No Deposit;115;;0;Contract;58.95;0;0;Check-Out;05/07/15;Sheri Aguilar;Aguilar.Sheri22@att.com;333-467-7388;************5982
Resort Hotel;1;3;2015;July;27;2;0;3;2;0;0;HB;PRT;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;240;;0;Transient;136.33;0;2;Canceled;29/06/15;Sandra Graham;Sandra_Graham@xfinity.com;141-723-4259;************4525
Resort Hotel;0;10;2015;July;27;3;0;2;2;2;0;BB;USA;Online TA;TA/TO;0;0;0;G;H;0;No Deposit;240;;0;Transient;153;1;0;Check-Out;05/07/15;Christopher Cabrera;Cabrera.Christopher@yahoo.com;852-612-3076;************8922
Resort Hotel;0;3;2015;July;27;3;0;2;2;0;0;BB;ESP;Online TA;TA/TO;0;0;0;A;C;0;No Deposit;240;;0;Transient;110.5;0;0;Check-Out;05/07/15;Melinda Flores;Flores_Melinda@yahoo.com;419-443-6780;************9114
Resort Hotel;0;51;2015;July;27;3;0;2;2;0;0;BB;POL;Online TA;TA/TO;0;0;0;D;D;0;No Deposit;242;;0;Transient;97;0;0;Check-Out;05/07/15;Michael Whitehead;Michael.W@mail.com;738-618-2202;************8548
Resort Hotel;1;71;2015;July;27;3;0;2;3;0;0;BB;PRT;Offline TA/TO;TA/TO;0;0;0;A;A;0;No Deposit;242;;0;Transient;110.3;0;2;Canceled;16/06/15;Brent Hamilton;Brent.Hamilton15@gmail.com;304-692-3370;************9129
Resort Hotel;1;63;2015;July;27;3;0;2;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;240;;0;Transient;82;0;2;Canceled;18/06/15;Jessica Bradford;JBradford@outlook.com;207-319-4187;************6345
Resort Hotel;1;62;2015;July;27;3;0;2;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;D;D;0;No Deposit;240;;0;Transient;97;0;1;Canceled;03/07/15;Marissa Robinson;MarissaRobinson@mail.com;770-855-7071;************8906
Resort Hotel;1;101;2015;July;27;3;0;2;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;240;;0;Transient;73.8;0;1;Canceled;12/06/15;Jennifer Curry;Jennifer_Curry@hotmail.com;964-722-0569;************2465
Resort Hotel;0;2;2015;July;27;3;0;2;2;0;0;HB;PRT;Offline TA/TO;TA/TO;0;0;0;A;A;0;No Deposit;3;;0;Transient;91.5;0;0;Check-Out;05/07/15;Teresa Maldonado;Maldonado_Teresa95@protonmail.com;623-086-5362;************7419
Resort Hotel;0;15;2015;July;27;3;0;2;2;0;0;BB;ESP;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;240;;0;Transient;114.5;0;0;Check-Out;05/07/15;Bryan Perez;BryanPerez@gmail.com;125-111-5926;************7649
Resort Hotel;1;51;2015;July;27;3;0;2;3;0;0;BB;PRT;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;242;;0;Transient;110.3;0;0;Canceled;09/06/15;Timothy Horn;Timothy.H@yandex.com;308-321-9169;************9797
Resort Hotel;0;3;2015;July;27;3;1;2;2;0;0;BB;ESP;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;240;;0;Transient;90.9;1;0;Check-Out;06/07/15;Angela Williams;Angela.Williams@xfinity.com;580-737-9824;************2429
Resort Hotel;1;48;2015;July;27;3;1;2;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;E;E;0;No Deposit;240;;0;Transient;123;0;0;Canceled;26/05/15;Lee Ramirez MD;LMD@yahoo.com;764-987-4238;************1841
Resort Hotel;0;2;2015;July;27;3;2;2;1;0;0;BB;PRT;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;240;;0;Transient;122;0;0;Check-Out;07/07/15;Allen Hoffman;AHoffman@protonmail.com;387-020-2239;************6785
Resort Hotel;0;72;2015;July;27;3;2;2;2;0;0;BB;DEU;Offline TA/TO;TA/TO;0;0;0;A;A;0;No Deposit;105;;0;Transient;110.7;1;0;Check-Out;07/07/15;Michael Yu;Michael_Yu59@comcast.net;648-953-8540;************2015
Resort Hotel;0;81;2015;July;27;3;2;6;3;0;0;BB;PRT;Offline TA/TO;TA/TO;0;0;0;D;D;0;No Deposit;5;;0;Transient;85.86;0;0;Check-Out;11/07/15;Anthony Moss;Anthony_Moss18@yandex.com;963-680-1077;************1583
Resort Hotel;0;99;2015;July;27;3;2;7;2;0;0;BB;FRA;Offline TA/TO;TA/TO;0;0;0;A;A;0;No Deposit;40;;0;Contract;58.95;0;0;Check-Out;12/07/15;Tony Olson;Tony_O@outlook.com;177-359-1844;************2796
Resort Hotel;1;368;2015;July;27;3;3;7;2;0;0;BB;PRT;Offline TA/TO;TA/TO;0;0;0;A;A;0;No Deposit;40;;0;Contract;55.68;0;0;Canceled;19/05/15;Clayton Cowan;Clayton.Cowan31@protonmail.com;504-743-2620;************8621
Resort Hotel;0;364;2015;July;27;3;3;7;2;0;0;BB;GBR;Offline TA/TO;TA/TO;0;0;0;A;A;0;No Deposit;40;;0;Contract;55.68;0;0;Check-Out;13/07/15;Mrs. Debra Jackson DDS;DDS_Mrs.@att.com;307-631-6954;************5361
Resort Hotel;1;81;2015;July;27;3;3;7;2;0;0;HB;PRT;Direct;Direct;0;0;0;A;A;2;No Deposit;250;;0;Transient;124;0;1;Canceled;09/06/15;Raymond Young;Young.Raymond92@verizon.com;699-642-7831;************1207
Resort Hotel;0;99;2015;July;27;3;3;7;2;0;0;HB;GBR;Offline TA/TO;TA/TO;0;0;0;E;E;0;No Deposit;115;;0;Contract;111.15;0;0;Check-Out;13/07/15;Lisa Schroeder;Schroeder.Lisa@comcast.net;530-765-2207;************6525
Resort Hotel;0;324;2015;July;27;3;4;10;2;0;0;HB;GBR;Offline TA/TO;TA/TO;0;0;0;E;E;0;No Deposit;40;;0;Contract;134.73;0;0;Check-Out;17/07/15;Kristin Roberts;Kristin_Roberts56@protonmail.com;697-234-2961;************5111
Resort Hotel;0;69;2015;July;27;3;4;10;2;0;0;BB;GBR;Online TA;TA/TO;0;0;0;F;F;1;No Deposit;241;;0;Transient;92.45;0;1;Check-Out;17/07/15;Howard Williams;Howard_W@outlook.com;725-661-7321;************7698
Resort Hotel;1;79;2015;July;27;3;6;15;2;1;0;BB;PRT;Offline TA/TO;TA/TO;0;0;0;A;A;0;No Deposit;242;;0;Transient;108.73;0;2;Canceled;15/04/15;Jennifer Murphy;Murphy.Jennifer59@yandex.com;704-540-0581;************5298
Resort Hotel;0;12;2015;July;27;3;0;1;2;0;0;BB;GBR;Online TA;TA/TO;0;0;0;A;C;0;No Deposit;240;;0;Transient;73.8;0;0;Check-Out;04/07/15;Joshua Delacruz;JoshuaDelacruz@outlook.com;865-382-8535;************7875
Resort Hotel;0;9;2015;July;27;3;0;1;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;A;C;0;No Deposit;240;;0;Transient;98;1;2;Check-Out;04/07/15;Colleen Murphy;Colleen.Murphy@mail.com;338-111-1480;************2377
Resort Hotel;0;1;2015;July;27;3;0;1;2;0;0;BB;ESP;Online TA;TA/TO;0;0;0;A;C;0;No Deposit;240;;0;Transient;131;0;1;Check-Out;04/07/15;Rebecca Hebert;RHebert34@zoho.com;949-133-1514;************5325
Resort Hotel;0;21;2015;July;27;3;0;1;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;E;E;0;No Deposit;240;;0;Transient;123;0;0;Check-Out;04/07/15;Robert Campbell;RCampbell@verizon.com;889-737-3353;************8057
Resort Hotel;0;9;2015;July;27;3;0;1;2;0;0;BB;USA;Online TA;TA/TO;0;0;0;C;C;0;No Deposit;241;;0;Transient;94.71;0;0;Check-Out;04/07/15;Matthew Lang;Lang_Matthew34@hotmail.com;717-746-5383;************9947
Resort Hotel;0;109;2015;July;27;3;0;1;2;0;0;BB;BEL;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;240;;0;Transient;123;0;2;Check-Out;04/07/15;David Mcgee;David_M@aol.com;476-034-9610;************6891
Resort Hotel;1;109;2015;July;27;3;0;2;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;240;;0;Transient;123;0;1;Canceled;26/05/15;Jill Key;JillKey89@att.com;660-175-9098;************5468
Resort Hotel;1;72;2015;July;27;3;0;2;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;240;;0;Transient;73.8;0;1;Canceled;29/06/15;Nicole Campbell;NicoleCampbell26@zoho.com;438-796-8267;************2551
Resort Hotel;1;63;2015;July;27;3;2;5;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;F;F;0;No Deposit;242;;0;Transient;117;0;1;Canceled;13/05/15;James Hill;Hill.James@mail.com;448-162-3076;************1311
Resort Hotel;0;63;2015;July;27;3;2;5;3;0;0;HB;ESP;Offline TA/TO;TA/TO;0;0;0;E;E;0;No Deposit;105;;0;Transient;196.54;0;1;Check-Out;10/07/15;Daniel Richard;Daniel_R@xfinity.com;540-499-1735;************9315
Resort Hotel;0;101;2015;July;27;3;2;5;2;1;0;BB;PRT;Online TA;TA/TO;0;0;0;D;D;0;No Deposit;240;;0;Transient;99.3;1;2;Check-Out;10/07/15;Jacob Porter;Porter_Jacob@verizon.com;432-456-4500;************4203
Resort Hotel;0;102;2015;July;27;3;2;5;2;0;0;BB;DEU;Direct;Direct;0;0;0;E;E;0;No Deposit;250;;0;Transient;90.95;0;0;Check-Out;10/07/15;Susan Wilson;Wilson_Susan@comcast.net;253-535-6431;************9666
Resort Hotel;0;4;2015;July;27;4;2;1;2;0;0;BB;ESP;Direct;Direct;0;0;0;A;C;0;No Deposit;250;;0;Transient;92.67;0;1;Check-Out;07/07/15;Barbara Alvarez;Barbara.A87@outlook.com;358-294-6282;************1072
Resort Hotel;0;98;2015;July;27;4;2;1;2;0;0;BB;FRA;Offline TA/TO;TA/TO;0;0;0;D;D;0;No Deposit;8;;0;Transient;71.55;1;0;Check-Out;07/07/15;Noah Bowers;NoahBowers@protonmail.com;773-380-8502;************7381
Resort Hotel;0;92;2015;July;27;4;2;4;1;2;0;BB;FRA;Offline TA/TO;TA/TO;0;0;0;F;F;0;No Deposit;241;;0;Transient;96.49;0;2;Check-Out;10/07/15;Thomas Morales;Morales.Thomas@att.com;952-506-4281;************6048
Resort Hotel;0;95;2015;July;27;4;2;4;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;A;C;0;No Deposit;240;;0;Transient;85.8;1;2;Check-Out;10/07/15;Christopher Wilson;Christopher.Wilson@mail.com;189-137-7120;************7117
